Date,Price,High,Low,Volume,Last Close,Change,Var%
2010-01-04,5568.0,,,7706.0,5568.0,,
2010-01-05,5587.0,,,29996.0,5587.0,,
2010-01-06,5597.0,,,77454.0,5597.0,,
2010-01-07,5592.0,,,44781.0,5592.0,,
2010-01-08,5601.0,,,13571.0,5601.0,,
2010-01-11,5604.0,,,36652.0,5604.0,,
2010-01-12,5565.0,,,58208.0,5565.0,,
2010-01-13,5502.0,,,99611.0,5502.0,,
2010-01-14,5529.0,,,19970.0,5529.0,,
2010-01-15,5482.0,,,86712.0,5482.0,,
2010-01-18,5522.0,,,15356.0,5522.0,,
2010-01-19,5539.0,,,64932.0,5539.0,,
2010-01-20,5447.0,,,59665.0,5447.0,,
2010-01-21,5366.0,,,117843.0,5366.0,,
2010-01-22,5331.0,,,95246.0,5331.0,,
2010-01-25,5287.0,,,29635.0,5287.0,,
2010-01-26,5304.0,,,25220.0,5304.0,,
2010-01-27,5246.0,,,43898.0,5246.0,,
2010-01-28,5173.0,,,53841.0,5173.0,,
2010-01-29,5216.0,,,68337.0,5216.0,,
2010-02-01,5274.0,,,33666.0,5274.0,,
2010-02-02,5312.0,,,68371.0,5312.0,,
2010-02-03,5285.0,,,109033.0,5285.0,,
2010-02-04,5173.0,,,77513.0,5173.0,,
2010-02-05,5091.0,,,191909.0,5091.0,,
2010-02-08,5123.0,,,103363.0,5123.0,,
2010-02-09,5148.0,,,5781.0,5148.0,,
2010-02-10,5176.0,,,82297.0,5176.0,,
2010-02-11,5205.0,,,97334.0,5205.0,,
2010-02-12,5185.0,,,43161.0,5185.0,,
2010-02-15,5212.0,,,4190.0,5212.0,,
2010-02-16,5287.0,,,24898.0,5287.0,,
2010-02-17,5332.0,,,3021.0,5332.0,,
2010-02-18,5376.0,,,59122.0,5376.0,,
2010-02-19,5406.0,,,17003.0,5406.0,,
2010-02-22,5403.0,,,4521.0,5403.0,,
2010-02-23,5367.0,,,8161.0,5367.0,,
2010-02-24,5399.0,,,34163.0,5399.0,,
2010-02-25,5331.0,,,41204.0,5331.0,,
2010-02-26,5407.0,,,33127.0,5407.0,,
2010-03-01,5463.0,,,102968.0,5463.0,,
2010-03-02,5542.0,,,11448.0,5542.0,,
2010-03-03,5594.0,,,124206.0,5594.0,,
2010-03-04,5587.0,,,75444.0,5587.0,,
2010-03-05,5661.0,,,45049.0,5661.0,,
2010-03-08,5666.0,,,35566.0,5666.0,,
2010-03-09,5661.0,,,6408.0,5661.0,,
2010-03-10,5711.0,,,15398.0,5711.0,,
2010-03-11,5687.0,,,21681.0,5687.0,,
2010-03-12,5695.0,,,28254.0,5695.0,,
2010-03-15,5664.0,,,4725.0,5664.0,,
2010-03-16,5687.0,,,20097.0,5687.0,,
2010-03-17,5720.0,,,45545.0,5720.0,,
2010-03-18,5716.0,,,18478.0,5716.0,,
2010-03-19,5725.0,,,29423.0,5725.0,,
2010-03-22,5723.0,,,18168.0,5723.0,,
2010-03-23,5753.0,,,50603.0,5753.0,,
2010-03-24,5754.0,,,69624.0,5754.0,,
2010-03-25,5809.0,,,19935.0,5809.0,,
2010-03-26,5782.0,,,79740.0,5782.0,,
2010-03-29,5791.0,,,19521.0,5791.0,,
2010-03-30,5751.0,,,54189.0,5751.0,,
2010-03-31,5756.0,,,140544.0,5756.0,,
2010-04-01,5823.0,,,45890.0,5823.0,,
2010-04-06,5859.0,,,3991.0,5859.0,,
2010-04-07,5845.0,,,1916.0,5845.0,,
2010-04-08,5792.0,,,12318.0,5792.0,,
