Date,Price,High,Low,Volume,Last Close,Change,Var%
2010-01-04,280.55,,,34238569.0,280.55,,
2010-01-05,298.1,,,85412583.0,298.1,,
2010-01-06,307.0,,,63004445.0,307.0,,
2010-01-07,315.5,,,74073933.0,315.5,,
2010-01-08,320.55,,,71919378.0,320.55,,
2010-01-11,317.0,,,47132942.0,317.0,,
2010-01-12,316.6,,,42832890.0,316.6,,
2010-01-13,313.7,,,53949895.0,313.7,,
2010-01-14,318.65,,,41362542.0,318.65,,
2010-01-15,311.2,,,89759639.0,311.2,,
2010-01-18,317.75,,,35635967.0,317.75,,
2010-01-19,312.1,,,67719401.0,312.1,,
2010-01-20,300.85,,,71745431.0,300.85,,
2010-01-21,283.0,,,106899451.0,283.0,,
2010-01-22,271.35,,,164927199.0,271.35,,
2010-01-25,276.0,,,64522342.0,276.0,,
2010-01-26,276.0,,,49172453.0,276.0,,
2010-01-27,266.85,,,66325157.0,266.85,,
2010-01-28,264.95,,,85548366.0,264.95,,
2010-01-29,270.55,,,58487937.0,270.55,,
2010-02-01,282.2,,,49795822.0,282.2,,
2010-02-02,289.65,,,52355035.0,289.65,,
2010-02-03,295.35,,,75772920.0,295.35,,
2010-02-04,272.2,,,102518854.0,272.2,,
2010-02-05,269.0,,,101847371.0,269.0,,
2010-02-08,268.0,,,64613656.0,268.0,,
2010-02-09,269.3,,,53937145.0,269.3,,
2010-02-10,277.85,,,59986102.0,277.85,,
2010-02-11,268.35,,,70459869.0,268.35,,
2010-02-12,262.0,,,71391811.0,262.0,,
2010-02-15,275.05,,,42129859.0,275.05,,
2010-02-16,293.75,,,110131566.0,293.75,,
2010-02-17,302.3,,,72665480.0,302.3,,
2010-02-18,308.3,,,64746752.0,308.3,,
2010-02-19,312.25,,,78958352.0,312.25,,
2010-02-22,316.25,,,63102914.0,316.25,,
2010-02-23,311.75,,,59472019.0,311.75,,
2010-02-24,310.0,,,54159237.0,310.0,,
2010-02-25,306.85,,,45820945.0,306.85,,
2010-02-26,312.5,,,52286040.0,312.5,,
2010-03-01,312.15,,,56997933.0,312.15,,
2010-03-02,321.8,,,54485075.0,321.8,,
2010-03-03,329.9,,,57125934.0,329.9,,
2010-03-04,333.1,,,57835419.0,333.1,,
2010-03-05,341.4,,,56894565.0,341.4,,
2010-03-08,345.0,,,104125159.0,345.0,,
2010-03-09,345.8,,,57723584.0,345.8,,
2010-03-10,347.85,,,85839969.0,347.85,,
2010-03-11,343.75,,,47080435.0,343.75,,
2010-03-12,351.85,,,67443379.0,351.85,,
2010-03-15,348.6,,,46213988.0,348.6,,
2010-03-16,357.45,,,57015133.0,357.45,,
2010-03-17,359.4,,,48298913.0,359.4,,
2010-03-18,352.9,,,61648399.0,352.9,,
2010-03-19,357.6,,,94579778.0,357.6,,
2010-03-22,353.6,,,47928544.0,353.6,,
2010-03-23,357.9,,,39575003.0,357.9,,
2010-03-24,359.0,,,47041893.0,359.0,,
2010-03-25,365.1,,,47755576.0,365.1,,
2010-03-26,367.55,,,34137681.0,367.55,,
2010-03-29,366.85,,,31448778.0,366.85,,
2010-03-30,358.0,,,58356537.0,358.0,,
2010-03-31,360.3,,,50852107.0,360.3,,
2010-04-01,362.45,,,27419258.0,362.45,,
2010-04-06,364.2,,,27058930.0,364.2,,
2010-04-07,361.55,,,29470690.0,361.55,,
2010-04-08,357.1,,,38300952.0,357.1,,
2010-04-09,356.5,,,43345477.0,356.5,,
2010-04-12,364.65,,,38087251.0,364.65,,
2010-04-13,363.0,,,21881330.0,363.0,,
2010-04-14,373.5,,,72695884.0,373.5,,
2010-04-15,383.15,,,76936917.0,383.15,,
2010-04-16,373.35,,,115078708.0,373.35,,
2010-04-19,370.45,,,60762105.0,370.45,,
2010-04-20,372.75,,,60956867.0,372.75,,
2010-04-21,365.85,,,59169356.0,365.85,,
2010-04-22,359.7,,,62605204.0,359.7,,
2010-04-23,362.3,,,43957867.0,362.3,,
2010-04-26,370.9,,,68501130.0,370.9,,
2010-04-27,357.2,,,91049271.0,357.2,,
2010-04-28,352.0,,,91816273.0,352.0,,
2010-04-29,361.25,,,54772025.0,361.25,,
2010-04-30,338.25,,,155627180.0,338.25,,
2010-05-04,323.0,,,75509814.0,323.0,,
2010-05-05,322.75,,,106904284.0,322.75,,
2010-05-06,301.7,,,103715490.0,301.7,,
2010-05-07,283.7,,,166171818.0,283.7,,
2010-05-10,329.6,,,177749031.0,329.6,,
2010-05-11,325.4,,,74518412.0,325.4,,
2010-05-12,328.8,,,98155576.0,328.8,,
2010-05-13,329.0,,,48634302.0,329.0,,
